화면명,화면경로,ID,사용,코드유형,ko,en,ja,zh-TW,zh-CN,es,vi,original ko,original en,original ja,original zh-TW,original zh-CN,original es,original vi,BE 에러코드,공통버튼(B),공통(C),10/22 Backup original ja
S_SPA_HM_00,[User] Global / Space > 홈,S00003,사용,일반,방금,Just now,今,剛剛,刚刚,Ahora mismo,Vừa xong,방금,Just now,今,剛剛,刚刚,Ahora mismo,Vừa xong,,,방금,今
S_SPA_HM_00,[User] Global / Space > 홈,S00004,사용,일반,...더 보기,View more,もっと見る,... 查看更多,...查看更多,Ver más,Xem thêm,...더 보기,View more,もっと見る,... 查看更多,...查看更多,Ver más,Xem thêm,,,,もっと見る
S_SPA_HM_00,[User] Global / Space > 홈,S00005,사용,일반,댓글,Comments,コメント,回覆,回复,Comentarios,Bình luận,댓글,Comments,コメント,回覆,回复,Comentarios,Bình luận,,,,コメント
S_COM_SI_01,[User] Global / Space > 홈 > 로그인,S00007,사용,버튼,Facebook으로 계속하기,Continue with Facebook,Facebookでログイン,Facebook登入,Facebook登录,Iniciar sesión con Facebook,Tiếp tục bằng Facebook,Facebook으로 계속하기,Continue with Facebook,Facebookでログイン,Facebook登入,Facebook登录,Iniciar sesión con Facebook,Tiếp tục bằng Facebook,,,,Facebookでログイン
S_COM_SI_01,[User] Global / Space > 홈 > 로그인,S00008,사용,버튼,구글로 계속하기,Continue with Google,Googleでログイン,Google登入,Google登录,Iniciar sesión con Google,Tiếp tục với Google,구글로 계속하기,Continue with Google,Googleでログイン,Google登入,Google登录,Iniciar sesión con Google,Tiếp tục với Google,,,,Googleでログイン
S_COM_SI_01,[User] Global / Space > 홈 > 로그인,S00009,사용,버튼,X로 계속하기,Continue with X,X でログイン,X登入,X登录,Iniciar sesión con X,Tiếp tục với X,X로 계속하기,Continue with X,X でログイン,X登入,X登录,Iniciar sesión con X,Tiếp tục với X,,,,X でログイン
S_COM_SI_01,[User] Global / Space > 홈 > 로그인,S00010,사용,버튼,이메일로 계속하기,Continue with email,メールアドレスでログイン,電子信箱登入,电子邮箱登录,Iniciar sesión con correo electrónico,Tiếp tục bằng email,이메일로 계속하기,Continue with email,メールアドレスでログイン,電子信箱登入,电子邮箱登录,Iniciar sesión con correo electrónico,Tiếp tục bằng email,,,,メールアドレスでログイン
S_COM_SI_01,[User] Global / Space > 홈 > 로그인,S00011,사용,일반,아직 계정이 없으신가요?,Don't have an account?,はじめてご利用の方,還沒有帳號?,还没有账号?,¿No dispones de una cuenta?,Bạn chưa có tài khoản ư?,아직 계정이 없으신가요?,Don't have an account?,はじめてご利用の方,還沒有帳號?,还没有账号?,¿No dispones de una cuenta?,Bạn chưa có tài khoản ư?,,,,はじめてご利用の方
S_COM_SI_02,[User] Global / Space > 홈 > 로그인 > 이메일 로그인,S00012,사용,일반,이메일 주소를 입력해주세요.,Enter your email address,メールアドレス,E-mail,E-mail,Correo electrónico,Vui lòng nhập địa chỉ email của bạn.,이메일 주소를 입력해주세요.,Enter your email address,メールアドレス,E-mail,E-mail,Correo electrónico,Vui lòng nhập địa chỉ email của bạn.,,,,メールアドレス。
S_COM_SI_02,[User] Global / Space > 홈 > 로그인 > 이메일 로그인,S00013,사용,일반,비밀번호를 입력해주세요,Enter your password,パスワードを入力してください。,密碼,密码,Contraseña,Vui lòng nhập mật khẩu của bạn,비밀번호를 입력해주세요,Enter your password,パスワードを入力してください。,密碼,密码,Contraseña,Vui lòng nhập mật khẩu của bạn,,,,パスワード。
