ID,ko,en,ja,zh-TW,zh-CN,es,vi,비고,미사용
B00001,적용하기,Apply,適用する,適用,适用,Aplicar,Áp dụng,,사용
B00002,삭제하기,Delete,削除する ,刪除,删除,Borrar,Xóa,,사용
B00003,등록하기,Post,登録する,登記,登记,Publica,Đăng ký,,사용
B00004,저장하기,Save,保存する,保存,保存,Guardar,Lưu,,사용
B00005,교환 #{{str}},Exchange #{{str}},交換 #{{str}},換貨 #{{str}},换货 #{{str}},Intercambiar #{{str}},Đổi #{{str}},주문/클레임 상세 > 상세보기 버튼,미사용
B00006,반품 #{{str}},Return #{{str}},返品 #{{str}},退貨 #{{str}},退货 #{{str}},Devolver #{str}},Trả hàng #{{str}},주문/클레임 상세 > 상세보기 버튼,미사용
B00007,출고준비,Preparing to Release,出荷準備,準備出庫,准备出库,Preparando liberación,Chuẩn bị xuất kho,주문/클레임 상세 > 처리 버튼,사용
B00008,배송완료,Mark as delivered,配送完了,配送完成,配送完成,Marcar como entregado,Đã giao hàng,주문/클레임 상세 > 처리 버튼,사용
B00009,구매확정,Purchase Confirmed,購入確定,確認購買,确认购买,Compra confirmada,Xác nhận mua hàng,주문/클레임 상세 > 처리 버튼,사용
B00010,취소,Cancel,キャンセル,取消,取消,Cancelar,Hủy,주문/클레임 상세 > 처리 버튼,사용
B00011,교환,Exchange,交換,換貨,换货,Cambiar,Đổi hàng,주문/클레임 상세 > 처리 버튼,사용
B00012,반품,Return,返品,退貨,退货,Devolver,Trả hàng,주문/클레임 상세 > 처리 버튼,사용
B00013,기타,Others,その他,其他,其他,Otros,Khác,주문/클레임 상세 > 처리 버튼,미사용
B00014,최초주문내역,Initial Order History,最初の注文履歴,最早訂單明細,最早订单明细,Historial del pedido inicial,Lịch sử đặt hàng ban đầu,주문/클레임 상세 > 처리 버튼,미사용
B00015,취소 #{{str}},Cancel #{{str}},キャンセル #{{str}},取消 #{{str}},取消 #{{str}},Cancelar #{{str}},Hủy #{{str}},주문/클레임 상세 > 상세보기 버튼,미사용
B00016,배송 #{{str}},Shipment #{{str}},配送 #{{str}},配送 #{{str}},配送 #{{str}},Envío #{str},Vận chuyển #{{str}},주문/클레임 상세 > 상세보기 버튼,사용
B00017,취소요청,Request Cancellation,キャンセル要請,請求取消,请求取消,Solicitar cancelación,Yêu cầu hủy,주문/클레임 상세 > 처리 버튼,사용
B00018,배송조회,Track Shipping,配送状況,配送查詢,配送查询,Rastrear el envío,Tra cứu vận chuyển,주문/클레임 상세 > 처리 버튼,사용
B00019,승인,Approve,承認,同意,同意,Aprobar,Phê duyệt,주문/클레임 상세 > 처리 버튼,사용
B00020,거절,Deny,拒否,拒絕,拒绝,Denegar,Từ chối,주문/클레임 상세 > 처리 버튼,사용
B00021,회수 송장 등록/수정,Register/edit collection label,回収の送り状登録/修正,上傳/修改回收清單,上传/修改回收清单,Registrar/editar etiqueta de recolección,Đăng ký/sửa hóa đơn thu hồi,주문/클레임 상세 > 처리 버튼,사용
B00022,배송 송장 등록/수정,Register/edit shipping label,配送の送り状登録/修正,上傳/修改配送清單,上传/修改配送清单,Registrar/editar etiqueta de envío,Đăng ký/sửa hóa đơn vận chuyển,주문/클레임 상세 > 처리 버튼,사용
B00023,회수지 수정,Edit collection address,回収先修正,修改回收地址,修改回收地址,Editar dirección de recolección,Sửa địa chỉ thu hồi,주문/클레임 상세 > 처리 버튼,사용
B00024,교환배송지 수정,Edit exchange shipping address,交換配送先修正,修改換貨配送地址,修改换货配送地址,Editar dirección de envío del intercambio,Sửa địa chỉ giao đổi hàng,주문/클레임 상세 > 처리 버튼,사용
B00025,반품으로 변경,Change to return,返品に変更,更改為退貨,更改为退货,Cambiar a devolución,Chuyển sang trả hàng,주문/클레임 상세 > 처리 버튼,사용
B00026,교환으로 변경,Change to exchange,交換に変更,更改為換貨,更改为换货,Cambiar a intercambio,Chuyển sang đổi hàng,주문/클레임 상세 > 처리 버튼,사용
B00027,회수완료 처리,Mark as collected,回収完了処理,回收完成,回收完成,Marcar como recolectado,Đã xử lý thu hồi thành công,주문/클레임 상세 > 처리 버튼,사용
B00028,회수 재요청,Re-request collection,回収再要請,重新請求回收,重新请求回收,Volver a solicitar recolección,Yêu cầu thu hồi lại,주문/클레임 상세 > 처리 버튼,사용
B00029,출고 재요청,Re-request release,出荷再要請,重新請求出庫,重新请求出库,Volver a solicitar salida,Yêu cầu xuất kho lại,주문/클레임 상세 > 처리 버튼,사용
B00030,담당자 할당,Assign person-in-charge,担当者割り当て,分配負責人,分配负责人,Designar persona a cargo,Phân công người phụ trách,주문/클레임 상세 > 처리 버튼,사용
B00031,상세 조회,Detailed inquiry,詳細照会,查詢詳情,查询详情,Consulta detallada,Xem chi tiết,주문/클레임 상세 > 처리 버튼,미사용
B00032,환불처리,Refund,返金処理,退款處理,退款处理,Reembolso,Xử lý hoàn tiền,주문/클레임 상세 > 처리 버튼,사용
B00033,주문 #{{str}},Order #{{str}},注文 #{{str}},訂單 #{{str}},订单 #{{str}},Pedido #{{str}},Đơn hàng #{{str}},주문/클레임 상세 > 처리 버튼,사용
B00034,변경,Edit,変更,更改,更改,Cambiar,Thay đổi,주문/클레임 상세 > 처리 버튼,사용
B00035,회수 #{{str}},Collection #{{str}},回収 #{{str}},回收 #{{str}},回收 #{{str}},Recolección #{{str}},Thu hồi #{{str}},주문/클레임 상세 > 상세보기 버튼,사용
B00036,회원상세,Member Details,会員詳細,會員詳情,会员详情,Detalles del Miembro,Chi tiết thành viên,주문/클레임 상세 > 처리 버튼,사용
B00037,저장,Save,保存,保存,保存,Guardar,Lưu,주문/클레임 상세 > 처리 버튼,미사용
B00038,정보 변경,Change Info,情報変更,更改資訊,更改信息,Cambiar información,Thay đổi thông tin,배송지변경 버튼,사용
B00039,확인,Confirm,確認,確認,确认,Confirmar,Xác nhận,,사용
B00040,취소,Cancel,キャンセル,取消,取消,Cancelar,Hủy,,사용
B00041,교환 승인,Approve exchange,交換承認,同意換貨,同意换货,Aprobar intercambio,Phê duyệt đổi hàng,,사용
B00042,교환 거절,Deny exchange,交換拒否,拒絕換貨,拒绝换货,Denegar intercambio,Từ chối đổi hàng,,사용
B00043,반품 승인,Approve return,返品承認,同意退貨,同意退货,Aprobar devolución,Phê duyệt trả hàng,,사용
B00044,반품 거절,Deny return,返品拒否,拒絕退貨,拒绝退货,Denegar devolución,Từ chối trả hàng,,사용
B00045,교환 출고준비,Preparing to ship exchange,交換出荷準備,準備換貨出庫,准备换货出库,Preparando el envío del intercambio,Chuẩn bị xuất kho đổi hàng,,사용
B00046,회수완료 처리,Mark as collection completed,回収完了処理,回收完成,回收完成,Marcar como recolección completada,Đã xử lý thu hồi thành công,,사용
B00047,교환 배송완료 처리,Mark exchange as delivered,交換配送完了処理,換貨配送完成,换货配送完成,Marcar el intercambio como entregado,Đã xử lý giao hàng đổi hàng,,사용
B00048,다음으로,Next,次へ,下一步,下一步,Siguiente,Tiếp tục,,사용
B00049,머무르기,Stay,このまま続ける,繼續編輯,继续编辑,Seguir editando,Ở lại,,사용
B00050,돌아가기,Back,戻る,返回,返回,Atrás,Quay lại,,사용
B00051,교환접수,Exchange requested,交換受付,受理換貨,受理换货,Cambio cancelado,Nhận yêu cầu đổi hàng,,사용
B00052,상세화면 보기,View details,詳細画面を見る,查看詳情頁面,查看详情页面,Ver detalles,Xem chi tiết,,사용
